Parish,LDHH,Cumulative Cases,DateTime,FID,x,y
Beauregard,5,35,"4/18/2020, 11:00 AM",2206,-10390928.624963773,3587216.1699105264
Beauregard,5,30,"4/15/2020, 11:00 AM",2231,-10390928.624963773,3587216.1699105264
Beauregard,5,33,"4/16/2020, 11:00 AM",2321,-10390928.624963773,3587216.1699105264
Beauregard,5,35,"4/19/2020, 11:00 AM",2382,-10390928.624963773,3587216.1699105264
Bienville,7,1,"3/23/2020, 11:00 AM",2,-10358946.535258865,3809003.114831105
Bienville,7,1,"3/25/2020, 11:00 AM",39,-10358946.535258865,3809003.114831105
Bienville,7,1,"3/26/2020, 11:00 AM",106,-10358946.535258865,3809003.114831105
Bienville,7,1,"3/27/2020, 11:00 AM",176,-10358946.535258865,3809003.114831105
Bienville,7,,"3/20/2020, 11:00 AM",212,-10358946.535258865,3809003.114831105
Bienville,7,,"3/19/2020, 11:00 AM",254,-10358946.535258865,3809003.114831105
Bienville,7,,"3/17/2020, 11:00 AM",324,-10358946.535258865,3809003.114831105
Bienville,7,,"3/18/2020, 11:00 AM",425,-10358946.535258865,3809003.114831105
Bienville,7,,"3/21/2020, 11:00 AM",500,-10358946.535258865,3809003.114831105
Bienville,7,,"3/14/2020, 11:00 AM",545,-10358946.535258865,3809003.114831105
Bienville,7,,"3/15/2020, 11:00 AM",615,-10358946.535258865,3809003.114831105
Bienville,7,1,"3/24/2020, 11:00 AM",700,-10358946.535258865,3809003.114831105
Bienville,7,1,"3/22/2020, 11:00 AM",756,-10358946.535258865,3809003.114831105
Bienville,7,3,"3/28/2020, 11:00 AM",837,-10358946.535258865,3809003.114831105
Bienville,7,3,"3/29/2020, 11:00 AM",924,-10358946.535258865,3809003.114831105
Bienville,7,,"3/16/2020, 11:00 AM",939,-10358946.535258865,3809003.114831105
Bienville,7,14,"4/6/2020, 11:00 AM",1027,-10358946.535258865,3809003.114831105
Bienville,7,17,"4/7/2020, 11:00 AM",1095,-10358946.535258865,3809003.114831105
Bienville,7,5,"3/30/2020, 11:00 AM",1171,-10358946.535258865,3809003.114831105
Bienville,7,17,"4/8/2020, 11:00 AM",1269,-10358946.535258865,3809003.114831105
Bienville,7,6,"3/31/2020, 11:00 AM",1345,-10358946.535258865,3809003.114831105
Bienville,7,6,"4/1/2020, 11:00 AM",1411,-10358946.535258865,3809003.114831105
Bienville,7,24,"4/9/2020, 11:00 AM",1441,-10358946.535258865,3809003.114831105
Bienville,7,27,"4/10/2020, 11:00 AM",1507,-10358946.535258865,3809003.114831105
Bienville,7,33,"4/12/2020, 11:00 AM",1540,-10358946.535258865,3809003.114831105
Bienville,7,12,"4/5/2020, 11:00 AM",1617,-10358946.535258865,3809003.114831105
Bienville,7,30,"4/11/2020, 11:00 AM",1706,-10358946.535258865,3809003.114831105
Bienville,7,37,"4/13/2020, 11:00 AM",1808,-10358946.535258865,3809003.114831105
Bienville,7,8,"4/2/2020, 11:00 AM",1873,-10358946.535258865,3809003.114831105
Bienville,7,9,"4/3/2020, 11:00 AM",1927,-10358946.535258865,3809003.114831105
Bienville,7,10,"4/4/2020, 11:00 AM",1993,-10358946.535258865,3809003.114831105
Bienville,7,37,"4/14/2020, 11:00 AM",2053,-10358946.535258865,3809003.114831105
Bienville,7,58,"4/17/2020, 11:00 AM",2141,-10358946.535258865,3809003.114831105
Bienville,7,65,"4/18/2020, 11:00 AM",2207,-10358946.535258865,3809003.114831105
Bienville,7,42,"4/15/2020, 11:00 AM",2232,-10358946.535258865,3809003.114831105
Bienville,7,45,"4/16/2020, 11:00 AM",2322,-10358946.535258865,3809003.114831105
Bienville,7,66,"4/19/2020, 11:00 AM",2383,-10358946.535258865,3809003.114831105
Bossier,7,25,"3/25/2020, 11:00 AM",40,-10420083.199602531,3852857.002733777
Bossier,7,32,"3/26/2020, 11:00 AM",107,-10420083.199602531,3852857.002733777
Bossier,7,12,"3/23/2020, 11:00 AM",111,-10420083.199602531,3852857.002733777
Bossier,7,37,"3/27/2020, 11:00 AM",177,-10420083.199602531,3852857.002733777
Bossier,7,2,"3/19/2020, 11:00 AM",255,-10420083.199602531,3852857.002733777
Bossier,7,4,"3/20/2020, 11:00 AM",320,-10420083.199602531,3852857.002733777
Bossier,7,1,"3/17/2020, 11:00 AM",325,-10420083.199602531,3852857.002733777
Bossier,7,1,"3/18/2020, 11:00 AM",426,-10420083.199602531,3852857.002733777
Bossier,7,5,"3/21/2020, 11:00 AM",501,-10420083.199602531,3852857.002733777
Bossier,7,1,"3/14/2020, 11:00 AM",548,-10420083.199602531,3852857.002733777
Bossier,7,1,"3/15/2020, 11:00 AM",616,-10420083.199602531,3852857.002733777
Bossier,7,12,"3/24/2020, 11:00 AM",701,-10420083.199602531,3852857.002733777
Bossier,7,5,"3/22/2020, 11:00 AM",757,-10420083.199602531,3852857.002733777
Bossier,7,45,"3/28/2020, 11:00 AM",839,-10420083.199602531,3852857.002733777
Bossier,7,56,"3/29/2020, 11:00 AM",925,-10420083.199602531,3852857.002733777
Bossier,7,1,"3/16/2020, 11:00 AM",940,-10420083.199602531,3852857.002733777
Bossier,7,139,"4/6/2020, 11:00 AM",1028,-10420083.199602531,3852857.002733777
Bossier,7,146,"4/7/2020, 11:00 AM",1096,-10420083.199602531,3852857.002733777
Bossier,7,57,"3/30/2020, 11:00 AM",1172,-10420083.199602531,3852857.002733777
Bossier,7,159,"4/8/2020, 11:00 AM",1270,-10420083.199602531,3852857.002733777
Bossier,7,63,"3/31/2020, 11:00 AM",1346,-10420083.199602531,3852857.002733777
Bossier,7,75,"4/1/2020, 11:00 AM",1412,-10420083.199602531,3852857.002733777
Bossier,7,171,"4/9/2020, 11:00 AM",1442,-10420083.199602531,3852857.002733777
Bossier,7,175,"4/10/2020, 11:00 AM",1508,-10420083.199602531,3852857.002733777
Bossier,7,186,"4/12/2020, 11:00 AM",1541,-10420083.199602531,3852857.002733777
Bossier,7,133,"4/5/2020, 11:00 AM",1618,-10420083.199602531,3852857.002733777
Bossier,7,178,"4/11/2020, 11:00 AM",1707,-10420083.199602531,3852857.002733777
Bossier,7,188,"4/13/2020, 11:00 AM",1809,-10420083.199602531,3852857.002733777
Bossier,7,87,"4/2/2020, 11:00 AM",1874,-10420083.199602531,3852857.002733777
Bossier,7,95,"4/3/2020, 11:00 AM",1928,-10420083.199602531,3852857.002733777
Bossier,7,126,"4/4/2020, 11:00 AM",1994,-10420083.199602531,3852857.002733777
Bossier,7,207,"4/14/2020, 11:00 AM",2054,-10420083.199602531,3852857.002733777
Bossier,7,230,"4/17/2020, 11:00 AM",2142,-10420083.199602531,3852857.002733777
Bossier,7,230,"4/18/2020, 11:00 AM",2208,-10420083.199602531,3852857.002733777
Bossier,7,211,"4/15/2020, 11:00 AM",2233,-10420083.199602531,3852857.002733777
Bossier,7,220,"4/16/2020, 11:00 AM",2323,-10420083.199602531,3852857.002733777
Bossier,7,233,"4/19/2020, 11:00 AM",2384,-10420083.199602531,3852857.002733777
Caddo,7,115,"3/26/2020, 11:00 AM",5,-10450952.094399506,3839827.798885799
Caddo,7,93,"3/25/2020, 11:00 AM",41,-10450952.094399506,3839827.798885799
Caddo,7,140,"3/27/2020, 11:00 AM",178,-10450952.094399506,3839827.798885799
Caddo,7,34,"3/23/2020, 11:00 AM",214,-10450952.094399506,3839827.798885799
Caddo,7,7,"3/19/2020, 11:00 AM",256,-10450952.094399506,3839827.798885799
Caddo,7,3,"3/17/2020, 11:00 AM",326,-10450952.094399506,3839827.798885799
Caddo,7,13,"3/20/2020, 11:00 AM",346,-10450952.094399506,3839827.798885799
Caddo,7,5,"3/18/2020, 11:00 AM",427,-10450952.094399506,3839827.798885799
Caddo,7,13,"3/21/2020, 11:00 AM",502,-10450952.094399506,3839827.798885799
Caddo,7,1,"3/14/2020, 11:00 AM",550,-10450952.094399506,3839827.798885799
Caddo,7,1,"3/15/2020, 11:00 AM",617,-10450952.094399506,3839827.798885799
